data,target
"[396.410004 395.910004 397.26001  391.480011 389.480011 392.589996
 389.5      387.519989 389.700012 395.980011 395.779999 394.730011
 396.329987 400.609985 406.359985 406.119995 406.589996 408.519989
 411.48999  411.640015 412.859985]",-1.4099729999999795
"[395.910004 397.26001  391.480011 389.480011 392.589996 389.5
 387.519989 389.700012 395.980011 395.779999 394.730011 396.329987
 400.609985 406.359985 406.119995 406.589996 408.519989 411.48999
 411.640015 412.859985 411.450012]",4.419983000000002
"[397.26001  391.480011 389.480011 392.589996 389.5      387.519989
 389.700012 395.980011 395.779999 394.730011 396.329987 400.609985
 406.359985 406.119995 406.589996 408.519989 411.48999  411.640015
 412.859985 411.450012 415.869995]",1.3900150000000053
"[391.480011 389.480011 392.589996 389.5      387.519989 389.700012
 395.980011 395.779999 394.730011 396.329987 400.609985 406.359985
 406.119995 406.589996 408.519989 411.48999  411.640015 412.859985
 411.450012 415.869995 417.26001 ]",-2.0500190000000202
"[389.480011 392.589996 389.5      387.519989 389.700012 395.980011
 395.779999 394.730011 396.329987 400.609985 406.359985 406.119995
 406.589996 408.519989 411.48999  411.640015 412.859985 411.450012
 415.869995 417.26001  415.209991]",-3.039978000000019
"[392.589996 389.5      387.519989 389.700012 395.980011 395.779999
 394.730011 396.329987 400.609985 406.359985 406.119995 406.589996
 408.519989 411.48999  411.640015 412.859985 411.450012 415.869995
 417.26001  415.209991 412.170013]",3.8999939999999924
"[389.5      387.519989 389.700012 395.980011 395.779999 394.730011
 396.329987 400.609985 406.359985 406.119995 406.589996 408.519989
 411.48999  411.640015 412.859985 411.450012 415.869995 417.26001
 415.209991 412.170013 416.070007]",-3.800017999999966
"[387.519989 389.700012 395.980011 395.779999 394.730011 396.329987
 400.609985 406.359985 406.119995 406.589996 408.519989 411.48999
 411.640015 412.859985 411.450012 415.869995 417.26001  415.209991
 412.170013 416.070007 412.269989]",4.470000999999968
"[389.700012 395.980011 395.779999 394.730011 396.329987 400.609985
 406.359985 406.119995 406.589996 408.519989 411.48999  411.640015
 412.859985 411.450012 415.869995 417.26001  415.209991 412.170013
 416.070007 412.269989 416.73999 ]",0.8699950000000172
"[395.980011 395.779999 394.730011 396.329987 400.609985 406.359985
 406.119995 406.589996 408.519989 411.48999  411.640015 412.859985
 411.450012 415.869995 417.26001  415.209991 412.170013 416.070007
 412.269989 416.73999  417.609985]",-0.08999599999998509
"[395.779999 394.730011 396.329987 400.609985 406.359985 406.119995
 406.589996 408.519989 411.48999  411.640015 412.859985 411.450012
 415.869995 417.26001  415.209991 412.170013 416.070007 412.269989
 416.73999  417.609985 417.519989]",-0.11999500000001717
"[394.730011 396.329987 400.609985 406.359985 406.119995 406.589996
 408.519989 411.48999  411.640015 412.859985 411.450012 415.869995
 417.26001  415.209991 412.170013 416.070007 412.269989 416.73999
 417.609985 417.519989 417.399994]",2.6600040000000718
"[396.329987 400.609985 406.359985 406.119995 406.589996 408.519989
 411.48999  411.640015 412.859985 411.450012 415.869995 417.26001
 415.209991 412.170013 416.070007 412.269989 416.73999  417.609985
 417.519989 417.399994 420.059998]",-2.7600100000000793
